draw_date;n1;n2;n3;n4;n5;bonus
2022-12-14;2;3;10;13;15;4
2022-12-17;5;27;30;31;40;10
2022-12-21;13;25;32;45;46;7
2022-12-24;1;10;16;42;45;2
2022-12-28;12;15;28;34;45;8
2022-12-31;4;8;16;30;36;3
2023-01-04;28;40;47;48;49;1
2023-01-07;29;33;40;47;49;7
2023-01-11;11;29;31;36;48;8
2023-01-14;16;17;18;41;49;9
2023-01-18;16;18;29;32;41;2
2023-01-21;16;18;19;22;46;6
2023-01-25;0;3;12;14;21;10
2023-01-28;5;10;14;45;46;7
2023-02-01;31;38;45;48;49;4
2023-02-04;2;25;27;38;45;10
2023-02-08;1;20;23;25;31;
2023-02-11;15;27;35;39;48;8
2023-02-15;2;15;18;28;32;7
2023-02-18;22;26;43;44;47;3
2023-02-22;2;9;30;35;40;7
2023-02-25;2;6;37;38;43;7
2023-03-01;4;9;12;17;30;7
2023-03-04;14;21;22;30;49;7
2023-03-08;6;17;18;27;49;8
2023-03-11;2;4;23;35;48;4
2023-03-15;2;3;5;42;49;4
2023-03-18;2;10;13;16;40;3
2023-03-22;8;14;31;37;43;8
2023-03-25;11;17;24;39;45;10
2023-03-29;8;11;20;46;48;2
2023-04-01;0;20;37;38;44;7
2023-04-05;5;13;26;38;46;4
2023-04-08;7;20;39;44;45;2
2023-04-12;3;23;28;35;37;6
2023-04-15;1;5;22;33;42;7
2023-04-19;7;24;28;32;41;8
2023-04-22;10;12;28;46;47;9
2023-04-26;18;31;35;40;42;8
2023-04-29;18;21;28;38;47;
2023-05-03;6;16;18;29;49;8
2023-05-06;1;2;6;14;17;3
2023-05-10;12;14;21;23;32;5
2023-05-13;0;22;36;39;45;1
2023-05-17;6;13;16;34;47;7
2023-05-20;16;32;36;45;49;8
2023-05-24;2;29;32;42;46;2
2023-05-27;2;7;11;13;14;5
2023-05-31;24;31;36;38;43;9
2023-06-03;22;23;28;36;48;6
2023-06-07;17;18;20;30;45;4
2023-06-10;8;13;21;47;48;9
2023-06-14;12;13;14;45;49;8
2023-06-17;18;34;38;47;49;10
2023-06-21;7;13;15;19;24;3
2023-06-24;1;9;20;35;46;5
2023-06-28;23;42;45;46;47;9
2023-07-01;1;7;32;41;49;10
2023-07-05;12;19;22;29;31;1
2023-07-08;37;39;40;43;45;9
2023-07-12;4;5;37;41;44;3
2023-07-15;6;10;16;20;37;2
2023-07-19;27;36;39;40;49;4
2023-07-22;20;25;29;34;38;7
2023-07-26;4;20;37;40;48;2
2023-07-29;14;17;41;43;49;2
2023-08-02;5;11;12;16;36;3
2023-08-05;1;27;29;39;45;8
2023-08-09;3;15;19;45;46;8
2023-08-12;5;15;17;41;44;10
2023-08-16;8;13;28;35;43;4
2023-08-19;4;5;10;18;42;3
2023-08-23;19;20;37;39;48;8
2023-08-26;8;20;26;30;45;5
2023-08-30;6;29;32;33;35;10
2023-09-02;3;21;28;39;48;5
2023-09-06;2;6;15;37;44;10
2023-09-09;2;18;37;44;49;1
2023-09-13;1;7;8;9;30;1
2023-09-16;12;18;28;38;41;
2023-09-20;6;22;23;27;31;6
2023-09-23;7;11;22;27;43;8
2023-09-27;19;26;36;43;49;1
2023-09-30;0;8;17;21;30;7
2023-10-04;1;30;33;35;43;7
2023-10-07;4;13;24;34;40;8
2023-10-11;4;14;29;41;49;5
2023-10-14;9;19;29;36;45;8
2023-10-18;2;8;16;39;41;3
2023-10-21;1;6;20;27;36;4
2023-10-25;8;10;30;32;42;5
2023-10-28;18;27;31;33;46;8
2023-11-01;10;16;25;30;36;4
2023-11-04;5;9;33;39;48;5
2023-11-08;1;18;22;27;33;5
2023-11-11;20;32;38;43;47;3
2023-11-15;22;23;29;31;35;9
2023-11-18;21;25;30;35;49;4
2023-11-22;15;16;25;37;45;7
2023-11-25;3;21;31;46;48;7
2023-11-29;10;25;32;42;43;1
2023-12-02;7;9;22;33;38;8
2023-12-06;1;7;30;34;47;3
2023-12-09;5;10;27;31;42;5
2023-12-13;0;36;45;46;49;7
2023-12-16;21;22;25;35;44;8
2023-12-20;3;5;16;35;40;5
2023-12-23;6;7;15;28;48;2
2023-12-27;2;11;20;29;45;1
2023-12-30;4;19;21;23;24;7
2024-01-03;7;19;29;36;47;3
2024-01-06;3;8;30;35;43;4
2024-01-10;2;10;11;41;48;9
2024-01-13;9;14;16;22;27;7
2024-01-17;7;10;12;13;17;10
2024-01-20;3;10;26;30;39;3
2024-01-24;4;9;30;47;48;3
2024-01-27;5;15;22;34;40;3
2024-01-31;2;7;14;25;45;2
2024-02-03;9;15;26;28;33;10
2024-02-07;27;38;43;46;48;7
2024-02-10;3;5;11;18;46;10
2024-02-14;0;4;8;11;30;10
2024-02-17;4;7;27;40;49;8
2024-02-21;1;10;34;38;41;10
2024-02-24;4;7;18;36;39;
2024-02-28;3;15;16;30;43;
2024-03-02;16;23;31;37;44;8
2024-03-06;6;27;36;38;39;5
2024-03-09;2;6;20;25;27;8
2024-03-13;2;16;26;32;45;5
2024-03-16;4;11;13;21;38;
2024-03-20;8;14;31;40;46;8
2024-03-23;9;26;39;43;44;5
2024-03-27;6;12;15;40;44;9
2024-03-30;1;21;25;41;43;3
2024-04-03;6;11;17;20;47;2
2024-04-06;16;17;26;36;48;
2024-04-10;12;13;14;24;48;6
2024-04-13;2;4;14;25;31;10
2024-04-17;7;12;25;45;49;
2024-04-20;11;12;34;36;39;7
2024-04-24;5;18;26;31;32;5
2024-04-27;2;9;15;29;42;8
2024-05-01;7;13;20;25;31;4
2024-05-04;19;23;25;37;45;5
2024-05-08;1;2;18;26;43;
2024-05-11;4;32;39;44;48;5
2024-05-15;13;15;23;39;41;10
2024-05-18;17;43;44;47;49;3
2024-05-22;3;7;20;41;42;8
2024-05-25;37;38;45;48;49;2
2024-05-29;12;19;21;27;48;4
2024-06-01;0;24;33;34;35;5
2024-06-05;11;17;19;31;48;6
2024-06-08;5;8;10;30;49;4
2024-06-12;24;26;36;44;47;
2024-06-15;1;8;17;26;35;8
2024-06-19;17;24;38;44;48;7
2024-06-22;7;15;24;41;44;8
2024-06-26;2;15;21;36;40;2
2024-06-29;20;30;41;42;45;7
2024-07-03;3;8;9;20;32;2
2024-07-06;7;9;16;25;35;8
2024-07-10;1;6;7;20;24;8
2024-07-13;10;27;38;47;48;2
2024-07-17;3;18;27;32;40;6
2024-07-20;7;14;16;24;29;6
2024-07-24;4;23;26;35;42;5
2024-07-27;6;8;13;30;43;4
2024-07-31;2;4;39;41;42;6
2024-08-03;34;40;44;45;49;5
2024-08-07;10;14;15;22;38;10
2024-08-10;1;9;10;18;35;5
2024-08-14;2;8;9;12;43;1
2024-08-17;2;16;21;23;38;3
2024-08-21;4;9;17;27;48;9
2024-08-24;5;8;29;31;48;6
2024-08-28;7;15;29;33;38;10
2024-08-31;3;20;34;43;47;8
2024-09-04;2;4;26;31;42;7
2024-09-07;7;29;32;44;46;2
2024-09-11;5;6;10;21;39;3
2024-09-14;18;36;38;40;41;6
2024-09-18;19;25;30;34;39;9
2024-09-21;7;8;28;39;45;9
2024-09-25;14;15;28;29;47;7
2024-09-28;22;26;27;30;47;2
2024-10-02;17;21;24;28;43;
2024-10-05;5;6;28;31;44;2
2024-10-09;4;9;24;36;48;10
2024-10-12;8;22;27;36;43;6
2024-10-16;4;28;43;47;49;5
2024-10-19;0;20;23;37;39;9
2024-10-23;10;14;15;31;43;2
2024-10-26;8;23;24;36;49;5
2024-10-30;15;28;36;37;40;
2024-11-02;2;36;39;42;44;5
2024-11-06;2;12;18;45;49;5
2024-11-09;1;10;12;22;23;10
2024-11-13;5;10;26;43;48;1
2024-11-16;6;14;25;34;48;7
2024-11-20;11;20;22;24;30;6
2024-11-23;4;6;10;37;39;3
2024-11-27;4;6;40;44;49;
2024-11-30;2;4;12;13;16;1
